group,channel,tvg_id,backup
Tennis,Super Tennis,SuperTennis.HD.it,[6079;]
Tennis,TSN 1,TSN.1.ca2,[6521;]
Tennis,TSN 2,TSN.2.ca2,[6492;]
Tennis,TSN 3,TSN.3.ca2,[6522;]
Tennis,TSN 4,TSN.4.ca2,[6445;]
Tennis,TSN 5,TSN.5.ca2,[6517;]
Tennis,S Sport,SPORTS.TV.tr,[6825;]
Football,USA Network,USA.Network.HD.us2,[1101;31124;]
Football,DAZN 1,DAZN.1.pt,[31954;]
Football,Sky Sports Main Event,Sky.Sports.Main.Event.ie,[9308;]
Football,Sky Sports Premier League,Sky.Sports.Premier.League.ie,[9334;]
Football,beIN Sports 3,beIN.SPORTS.3.tr,[6821;]
Football,Arena Sport 1,Arena.Sport.1.HD.hr,[7263;7329;]
Football,Setanta Sports UA,,[272;15183;]
Football,ESPN,,[19056;19060;]
General,ESPN,ESPN.HD.us2,[19156;]
General,ESPN 2,ESPN2.HD.us2,[19155;]
